500

ITN.           PE                KE                  TE                    TEMP
[164.]     [140.22978281]   [168.3472432]   [308.57702602]   [112.23149547]
[165.]     [139.29478562]   [26952.74733522]   [27092.04212083]   [17968.49822348]
[166.]     [138.74388763]   [26943.94967506]   [27082.69356269]   [17962.63311671]
[167.]     [138.49514433]   [13457.61095102]   [13596.10609535]   [8971.74063401]
[168.]     [138.19825569]   [53326.51735186]   [53464.71560755]   [35551.01156791]
[169.]     [137.88712659]   [66675.91657418]   [66813.80370077]   [44450.61104945]
[170.]     [137.587121]   [26798.77107945]   [26936.35820044]   [17865.8473863]
[171.]     [137.20678132]   [26898.54954694]   [27035.75632826]   [17932.36636463]
[172.]     [136.48386347]   [26895.72895411]   [27032.21281759]   [17930.48596941]
[173.]     [135.11425205]   [173.48610005]   [308.60035209]   [115.65740003]
[174.]     [133.31391429]   [175.27943951]   [308.5933538]   [116.85295967]
[175.]     [131.24380802]   [40236.89324965]   [40368.13705767]   [26824.59549977]
[176.]     [128.61443108]   [40241.64233019]   [40370.25676127]   [26827.76155346]
[177.]     [126.15707669]   [13453.58025945]   [13579.73733613]   [8969.0535063]
[178.]     [125.3018233]   [53437.14260137]   [53562.44442467]   [35624.76173424]
[179.]     [126.32428487]   [53488.47585595]   [53614.80014081]   [35658.98390396]
[180.]     [128.56713209]   [53462.36151098]   [53590.92864307]   [35641.57434065]
[181.]     [131.45658269]   [66848.80090771]   [66980.2574904]   [44565.86727181]
[182.]     [134.14243913]   [26879.45974471]   [27013.60218383]   [17919.6398298]
[183.]     [135.42540867]   [26801.75084973]   [26937.17625841]   [17867.83389982]
[184.]     [135.50292436]   [26806.07557056]   [26941.57849492]   [17870.71704704]
[185.]     [135.20940082]   [40045.29468508]   [40180.5040859]   [26696.86312339]
[186.]     [134.58390646]   [53413.7502989]   [53548.33420535]   [35609.16686593]
[187.]     [133.69882323]   [13552.35614276]   [13686.05496599]   [9034.90409517]
[188.]     [132.54159609]   [26682.33320719]   [26814.87480328]   [17788.22213813]
[189.]     [131.07568343]   [40030.81668588]   [40161.89236931]   [26687.21112392]
[190.]     [129.74128998]   [40143.2634077]   [40273.00469769]   [26762.17560514]
[191.]     [128.93666031]   [26792.73919972]   [26921.67586003]   [17861.82613315]
